陈兆民,河南省信阳地区财政局,干事,1972/1,81/4
陈兆民,河南省信阳地区财政局,办公室副主任,1981/4,84/3
陈兆民,深圳市财政局,副区科干事,1984/3,84/12
陈兆民,深圳市财政局,办公室副主任,1985/1,87/3
陈兆民,深圳市投资管理公司,副总经理,1987/3,89/9
陈兆民,深圳发展银行,副董事长,87,89
陈兆民,深圳市财政局,副局长,1989/9,91/9
陈兆民,深圳市财政局,副局长,1991/9,1998/7
陈兆民,深圳市商业银行,副董事长,95/6,98/8
陈兆民,深圳发展银行,党委书记,1998/8,
陈兆民,中共深圳市第二届纪律检查委员会,委员,,
陈兆民,深圳发展银行,董事,1999/2/27,
肖遂宁,云南省电力设计院,副总工程师,,
肖遂宁,,总经理助理,,
肖遂宁,,行长,,
肖遂宁,,行长,,
肖遂宁,深圳发展银行,行长,,
孙建一,中国平安保险(集团)股份有限公司,执行董事,1995/3,
孙建一,中国平安保险(集团)股份有限公司,副董事长,2008/10,
孙建一,中国平安保险(集团)股份有限公司,常务副总经理,1994/10,
孙建一,中国平安保险(集团)股份有限公司,董事长,,
孙建一,万科企业股份有限公司,非执行董事,,
孙建一,中国保险保障基金有限责任公司,非执行董事,,
孙建一,海昌控股有限公司,独立非执行董事,,
孙建一,中国平安保险(集团)股份有限公司,,1990/7,
孙建一,中国平安保险(集团)股份有限公司,,,
孙建一,,主任,,
孙建一,中国人民保险公司武汉分公司,副总经理,,
孙建一,武汉证券公司,总经理,,
王石,广州铁路局,,,
王石,广东省外经贸委,,,
王石,深圳市特区发展公司,,,
王石,深圳现代科教仪器展销中心,,1984,
王石,万科企业股份有限公司,董事,,
丁克义,秦皇岛港务局,副局长,,
丁克义,香港招商局,总经理,,
陈章良,深圳科兴生物工程股份有限公司,董事长,,
傅泽田,中国农业工程学会,理事长,,
王克昕,中国农业大学建筑设计院,院长,,
王克昕,北京东方畅想建筑设计有限公司,董事长,,
王克昕,山东北大高科华泰制药有限公司,董事长,,
王克昕,武汉北大高科软件有限公司,董事,,
王克昕,北京国农置业有限公司,董事,,
王鲁锋,中国兴发集团,副总裁,,
王鲁锋,,董事长,2009/6,
王鲁锋,江苏国农农业科技有限公司,董事长,2010/3,
江玉明,安徽省安庆郊区大风卫生院,,1981/8,1985/7
江玉明,安庆第一制药厂,,1985/8,1996/7
江玉明,安庆药业有限公司,,1996/8,1999/11
江玉明,安庆市乘风药房,,1999/12,2002/12
江玉明,安徽省东至乘风药业有限公司,董事长,2003/1,2012/12
江玉明,安庆乘风制药有限公司,董事长,2003/1,
江玉明,中国农大科技股份有限公司,董事,2010/5,
江玉明,中国农大科技股份有限公司,董事长,2011/9,
李林琳,澳大利亚新南威尔士大学会,,2008/12,
李林琳,澳大利亚和华利盛律师事务所,,2010/3,7
李林琳,山东北大高科华泰制药有限公司,董事长,2014/9,
丁芃,福建省外贸总公司,副总经理,1982/1991,
丁芃,中国投资有限公司,董事,,
范明月,深圳经济特区建设公司,办公室秘书,1983,
范明月,深圳市建设集团公司,办公室副主任,,
范明月,深圳市建设投资控股公司,经理,,
李永明,深圳市第五建筑工程公司,副总经理,,
李永明,深圳市金众(集团)股份有限公司,董事长,,
李永明,深圳市建设(集团)公司,副总经理,,
李永明,深圳市物业发展(集团)股份有限公司,董事,,
李永明,深圳市建设投资控股公司,副总裁,,
李永明,深圳市长城投资控股股份有限公司,董事,,
李永明,深圳市振业(集团)股份有限公司,党委书记,2003/4,
李永明,深圳市振业(集团)股份有限公司,董事长,2003/5,
李永明,深圳市机场(集团)有限公司,董事,,
李成碧,成都电子研究所,主任,,
李成碧,成都市羽龙土地整理公司,董事,,
李成碧,广州博融投资有限公司,法定代表人,,
李成碧,深圳市零七股份有限公司,董事长,,
练卫飞,广州越秀顺达贸易有限公司,董事长,,
练卫飞,广州汽车博览中心,董事长,,
练卫飞,广州AEC集团,董事长,,
练卫飞,广东省商业联合会,副会长,,
练卫飞,广州市越秀区政协,,,
练卫飞,香港中非资源投资有限公司,,,
练卫飞,深圳市源亨信投资有限公司,法定代表人,,
练卫飞,深圳市零七股份有限公司,,2008/2,
丁玮,中国国际金融有限公司,,,
陈德棉,中国人民共和国机械工业部,研究员,1996/12,
陈德棉,深圳市零七股份有限公司,独立董事,,
秦钢,三亚市亚龙湾开发股份有限公司,董事,,
秦钢,海南开发建设总公司,党委书记,1988,
秦钢,海南化纤工业股份有限公司,,,
秦钢,海南马自达汽车有限公司,发起人,,
秦钢,中国南方汽车有限公司,副董事长,,
周瑞堂,深圳市南冠精密合金厂,厂长,,
周瑞堂,深圳市凯虹实业股份有限公司,总经理,,
周瑞堂,深圳市南山区投资管理公司,总经理,,
周瑞堂,广东宝利来投资股份有限公司,董事长,,
周瑞堂,深圳市宝安宝利来实业有限公司推荐之董事,董事,,
王志全,北京有色金属研究总院,工程师,,
王志全,北京新联铁科技发展有限公司董事长,董事长,,
陈政立,全国政协,,,
陈政立,全国政协,委员,,
陈政立,全国政协,,,
陈政立,中国风险投资有限公司,董事长,,
李振华,广东万家乐集团公司,总经理,,
曹永红,四川省南充市酿造厂,厂长,,
曹永红,四川省资源科技开发有限公司,总经理,,
曹永红,深圳市华润丰实业发展有限公司,董事长,,
曹永红,深圳市华新股份有限公司,董事长,,
严立虎,江苏省江都市丁沟中学,教师,,
严立虎,江苏省人民银行,,,
杜小莉,成都市财政局,副处长,,
杜小莉,成都市财政证券事务所,,,
杜小莉,成都财盛证券公司,,,
杜小莉,成都财盛资产管理中心,总经理,,
夏鹏,中国对外经济贸易会计学会,副会长,,
夏鹏,北京广播影视集团财务总管兼财务中心,主任,,
夏鹏,北京深华新股份有限公司,独立董事,,
夏鹏,北京深华新股份有限公司,董事长,,
夏鹏,北京深华新股份有限公司,董事,2013/8,
贾明辉,中国机械进出口总公司,经理,,
贾明辉,香港华润集团越南公司,总经理,,
贾明辉,香港国润集团,,,
贾明辉,北京深华新股份有限公司,董事长,,
贾明辉,北京深华新股份有限公司,董事长,,
田承刚,珠海贸促会,,,
田承刚,深圳市人大,,,
田承刚,中国青年总裁协会,理事,,
陈玉刚,深圳市深华集团公司,总经理,,
陈玉刚,深圳市先科企业集团,总经理,,
陈玉刚,深圳市投资控股有限公司,副总经理,,
陈玉刚,深圳市物业发展(集团)股份有限公司,党委书记,2006/5,
陈玉刚,深圳市物业发展(集团)股份有限公司,董事长,2006/6,
陈玉刚,深圳市物业发展(集团)股份有限公司,党委书记,,
陈潮,深圳)有限公司,董事长,,
陈潮,深圳)有限公司,总经理,,
陈潮,深圳高速公路股份有限公司,总经理,,
陈潮,深圳国际控股有限公司,总裁,,
陈潮,中国南玻集团股份有限公司,董事长,,
陈潮,深圳市天健(集团)股份有限公司,董事长,,
陈潮,深圳联合产权交易所有限公司,董事长,,
陈潮,中国南玻集团股份有限公司,独立董事,,
陈潮,深圳市渤雄实业发展有限公司,董事,,
陈潮,深圳红晶石股权投资基金管理有限公司,,,
陈潮,广西五洲交通股份有限公司,独立董事,,
李景奇,深圳市投资管理公司,总裁助理,,
李景奇,香港上市公司,执行董事,2000/3,2006/8
李景奇,中国南玻集团股份有限公司,董事,,
李景奇,深圳国际多家非上市子公司,总经理,,
李景奇,深圳高速公路股份有限公司,董事,2005/4,
曾南,中国南玻集团股份有限公司,总经理,,
曾南,中国南玻集团股份有限公司,董事长,,
邹明武,香港分社研究中心,研究员,,
邹明武,深圳市物业发展(集团)股份有限公司,主任,,
邹明武,深圳市沙河房地产开发公司,总经理,,
邹明武,深圳市沙河实业(集团)有限公司,总经理,,
邹明武,深圳市沙河实业(集团)有限公司,董事长,,
吕华,中国平安保险(集团)股份有限公司,非执行董事,2013/6,
吕华,中国平安保险(集团)股份有限公司1,,2014/12/31,
吕华,深圳控股有限公司董事局主席,董事,,
吕华,深圳市沙河实业(集团)有限公司,党委书记,,
吕华,深业集团有限公司,副总经理,,
吕华,深圳燃气集团股份有限公司,董事,2007/4,2013/9
吕华,深圳市沙河集团有限公司,总经理,,
杨建达,广东省沙河华侨农场,队长,,
杨建达,深圳市沙河工贸发展公司,总经理,,
杨建达,深圳市沙河实业(集团)有限公司,党委委员,,
杨建达,深业沙河(集团)有限公司,董事长,,
陈勇,深圳市物业发展(集团)股份有限公司,科长,,
陈勇,深圳市沙河实业(集团)有限公司,经理,,
任克雷,中国包装总公司,副总经理,,
任克雷,深圳市委秘书长兼办公厅,主任,,
任克雷,深圳特区华侨城,主任,,
任克雷,深圳华侨城,董事长,,
任克雷,深圳华侨城,董事长,,
任克雷,香港华侨城,董事长,,
任克雷,深圳市海王生物工程股份有限公司,独立董事,,
任克雷,何香凝美术馆,馆长,,
任克雷,中国企业联合会,副会长,,
任克雷,中国旅游协会,副会长,,
任克雷,中国工业设计协会,副会长,,
任克雷,中国综合开发研究院,理事长,,
任克雷,深圳市设计联合会,会长,,
任克雷,深圳市设计与艺术联盟,主席,,
任克雷,全国政协,委员,,
侯松容,香港华侨城,董事长,,
侯松容,中国海外交流协会,理事,,
侯松容,中国青年企业家协会,副会长,中国青/企业家协会副会长,
吴斯远,深圳欢乐谷,总经理,,
吴斯远,深圳华侨城,副总裁,,
吴斯远,成都华侨城,总经理,,
吴斯远,武汉华侨城,执行董事,,
吴斯远,北京华侨城,副董事长,,
吴斯远,深圳华侨城,党委委员,,
吴斯远,中国游艺机游乐园协会,副会长,,
吴斯远,深圳市旅游协会,会长,,
陈跃华,深圳华侨城,总裁助理,,
陈跃华,深圳华侨城,副总裁,,
张民,深圳市罗湖区审计局,,,
张民,深圳市罗湖区房地产开发公司,总经理,,
张民,深圳市经济特区证券公司,总经理,,
刘凤喜,NONE,,,
李承友,深圳南油集团公司,党委书记,1995/3,
李承友,深圳南油集团公司,总经理,1996/4,
李承友,深圳市莱英达集团股份有限公司,董事长,,
李承友,深圳南油集团,,,
李承友,全国八届人大,,,
谢如贤,深圳中华自行车(集团)股份有限公司,董事长,,
黄俊民,中国工商银行深圳市分行信托投资公司,副总经理,,
黄俊民,中国工商银行,行长,,
黄俊民,中国工商银行,行长,,
黄俊民,中国华融资产管理公司,副总经理,2000/3,
章晓峰,中国工商银行,,1994,
章晓峰,中国华融资产管理公司,,2000/3,
章晓峰,中国华融资产管理公司,高级经理,,
尚世骏,中国平安保险公司,,1994,2000
尚世骏,深圳市国民投资发展有限公司,副总经理,2002,
尚世骏,深圳市国利投资发展有限公司,董事长,,
尚世骏,深圳市国晟能源投资发展有限公司,董事长,,
李钢,中国平安保险股份有限公司,,,
李钢,深圳市国民投资发展有限公司,,2009/1,2010/3
罗桂友,广东分公司,委员,2010/3,10
罗桂友,深圳中华自行车(集团)股份有限公司,董事长,,
李海,深圳中华自行车(集团)股份有限公司,副经理,,
李海,深圳中华自行车(集团)股份有限公司,董事,,
董炳根,中国服装总公司,总经理,,
董炳根,中国服装协会,理事长,,
董炳根,深圳中冠纺织印染股份有限公司,主席,2002/6,
胡永峰,深圳中冠纺织印染股份有限公司,董事长,2000/10,
胡永峰,深圳中冠纺织印染股份有限公司,总经理,2008/4,
陈略,武汉大学会,,,
陈略,珠海水产集团,技术员,,
陈略,广东粤西建筑公司,经理,,
陈略,贵州建工集团东莞公司,副总经理,,
陈略,深圳长城家俱装饰工程有限公司,副总经理,,
陈略,北京市装饰协会,副会长,,
陈略,中国建筑装饰协会,主任,,
陈略,中国建筑装饰协会,理事,,
陈略,北京)有限公司,执行董事,,
陈略,北京神州长城装饰设计有限公司,执行董事,,
陈略,中国神州立方投资有限公司,董事长,,
陈略,辽宁)有限公司,,,
林家宏,深圳市农产品股份有限公司,董事长,,
曾湃,深圳市深宝实业股份有限公司,董事,2001/5,2009/10
曾湃,深圳市农产品股份有限公司,董事,,
郑煜曦,深圳经济特区免税商品企业公司,董事,,
郑煜曦,深圳市农牧实业有限公司,董事长,,
郑煜曦,深圳市深宝实业股份有限公司,董事长,,
吴德华,深圳华发电子股份有限公司,董事长,,
车文申,深圳华发电子股份有限公司,董事,,
李中秋,湖北省第十届人大,,,
李中秋,武汉中恒新科技产业集团有限公司,董事长,1996,
李中秋,深圳中恒华发股份有限公司,董事长,2007/7,
王之,中国长城计算机(集团)公司,总经理,,
陈肇雄,中国长城计算机集团公司,董事长,,
陈肇雄,中国电子信息产业集团公司,副总经理,,
陈肇雄,中国华大集成电路设计有限责任公司,董事长,,
陈肇雄,上海浦东软件园有限责任公司,董事长,,
陈肇雄,海南方软件园发展有限公司,董事长,,
陈肇雄,中国电子信息产业集团研究院,院长,,
陈肇雄,中国电子产业工程公司,常务副总经理,,
陈肇雄,中国科学院计算机语言信息中心,主任,,
陈肇雄,中国科学院计算所机译中心,主任,,
傅育宁,全国政协,委员,,
傅育宁,香港联交所上市公司)主席,主席,,
傅育宁,中国南山开发(集团)股份有限公司,董事长,,
