S0001,阿姆斯特丹商学院
S0002,曼彻斯特大学
S0003,安徽教育学院
S0004,安徽工商管理学院
S0005,彼得堡工程科学院
S0006,中南矿业学院
S0007,青岛远洋船员学院
S0008,上海交大
S0009,南京航空学院
S0010,纽约理工大学
S0011,汉诺威大学
S0012,新疆广播电视大学
S0013,中共河南省委党校
S0014,河南广播电视大学
S0015,河北工学院
S0016,台湾大同工学院
S0017,世界生产率科学院
S0018,国际东西方大学
S0019,亚利桑那州立大学
S0020,亚利桑那大学
S0021,圣彼得堡大学
S0022,东北林学院
S0023,黑龙江省社会科学院
S0024,鞍山钢铁学院
S0025,山东经济学院
S0026,中国矿业学院
S0027,南京邮电学院
S0028,南京航空学院
S0029,杭州大学
S0030,澳门科技大学
S0031,西南师范大学
S0032,上海工业大学
S0033,上海社会科学院
S0034,中欧工商学院
S0035,上海国家会计学院
S0036,南洋理工大学
S0037,中国纺织大学
S0038,上海工业大学
S0039,香港城市大学
S0040,北京钢铁学院
S0041,山东煤炭技术学院
S0042,广西农学院
S0043,武汉化工学院
S0044,云南工业大学
S0045,北弗吉尼亚大学
S0046,阿姆斯特丹大学
S0047,北京市机械工业局职工大学
S0048,中国科学院研究生院
S0049,江西工业大学
S0050,郑州工业大学
S0051,江西冶金学院
S0052,中南矿冶学院
S0053,赫尔大学
S0054,天津财经学院
S0055,焦作矿业学院
S0056,南京化工学院
S0057,东北工学院
S0058,南昆大学
S0059,北京煤炭管理干部学院
S0060,纽约PACE大学
S0061,北京机械学院
S0062,广州外国语学院
S0063,中央政法管理干部学院
S0064,纽约保险学院
S0065,北京工业学院
S0066,第三世界科学院
S0067,格拉斯哥大学
S0068,马堡大学
S0069,西南财大
S0070,长沙第一师范学院
S0071,河南财经学院
S0072,铁道部干部管理学院
S0073,广东省广播电视大学
S0074,北京语言学院
S0075,洛阳工学院
S0076,世界生产力科学院
S0077,武汉工业大学
S0078,山东省妇女干部学院
S0079,南京市业余工业大学
S0080,湖北财经学院
S0081,北京行政学院
S0082,湖南财经学院
S0083,杭州商学院
S0084,辽宁财经学院
S0085,阜新矿业学院
S0086,西安矿业学院
S0087,安徽建材学院
S0088,上海建材学院
S0089,斯德哥尔摩大学
S0090,旧金山大学
S0091,北京师范学院
S0092,装甲兵工程学院
S0093,纽约州立大学
S0094,南京政治学院
S0095,山西煤炭管理干部学院
S0096,MIDDLESEX大学
S0097,香港中文大学
S0098,普渡大学
S0099,工业经济专业大学
S0100,哈佛大学
S0101,巴黎第十大学
S0102,中南工业大学
S0103,长沙铁道学院
S0104,吉林财贸学院
S0105,陕西财经学院
S0106,芝加哥大学
S0107,中国民航学院
S0108,南安普顿大学
S0109,南伊利诺伊大学
S0110,中国科技大学
S0111,京都大学
S0112,北海道大学
S0113,江苏工学院
S0114,鸡西矿业学院
S0115,阿尔伯塔大学
S0116,巴伐利亚旅游学院
S0117,伊利诺伊斯大学
S0118,湖南省经济管理学院
S0119,西安冶金建筑学院
S0120,巴基斯坦国际大学
S0121,内蒙古财经学院
S0122,中欧工商管理学院
S0123,华北水利电力学院
S0124,山西矿业学院
S0125,太原工业大学
S0126,北京轻工业学院
S0127,华东石油学院
S0128,上海机械学院
S0129,里尔第三大学
S0130,卢本巴希大学
S0131,中欧商学院
S0132,天津纺织工学院
S0133,吉林省直属机关业余大学
S0134,罗斯福大学
S0135,大连工学院
S0136,香港大学
S0137,伯明翰大学
S0138,抚顺石油学院
S0139,华盛顿大学
S0140,华南热带作物学院
S0141,郑州航空工业学院
S0142,中南财经大学
S0143,北京农业工程大学
S0144,鲁顿大学
S0145,新南威尔士大学
S0146,奥斯丁德克萨斯大学
S0147,哈佛商学院
S0148,北方交通大学
S0149,北京石油学院
S0150,吉林工业大学
S0151,华东纺织工学院
S0152,浙江丝绸工学院
S0153,兰州铁道学院
S0154,北京外语学院
S0155,莫斯科航空学院
S0156,北京航空学院
S0157,中欧国际工商学院
S0158,布鲁诺尔大学
S0159,威尔士大学
S0160,长江商学院
S0161,伦敦城市大学
S0162,江西财经学院
S0163,中央党校
S0164,马斯特里特赫国际管理学院
S0165,伊林工学院
S0166,杜伦大学
S0167,西北电讯工程学院
S0168,洛桑饭店管理学院
S0169,北京国际政治学院
S0170,中央财经金融学院
S0171,中央财政金融学院
S0172,武汉水利电力学院
S0173,东伦敦大学
S0174,巴尔的摩大学
S0175,山西财经学院
S0176,武汉职工大学
S0177,武汉城建学院
S0178,西安西北建筑工程学院
S0179,昆明工学院
S0180,太原机械学院
S0181,华东工学院
S0182,布法罗大学
S0183,吉林工学院
S0184,密西根州立大学
S0185,中国科学院计算所
S0186,西安公路学院
S0187,格林威治大学
S0188,白求恩医科大学
S0189,武汉交通科技大学
S0190,北京化工学院
S0191,加州大学圣地亚哥分校
S0192,加州大学
S0193,四平师范学院
S0194,西安公安干部学院
S0195,香港理工大学
S0196,河北财贸金融学院
S0197,蚌埠市职工大学
S0198,湖南农学院
S0199,西德曼海姆大学
S0200,北京地质学院
S0201,中欧国际工商管理学院
S0202,深圳教育学院
S0203,纽卡素(NEWCASTLE)大学
S0204,西安外国语学院
S0205,西雅图城市大学
S0206,南京工学院
S0207,北京经济学院
S0208,江西大学
S0209,哈尔滨科技大学
S0210,山东财政学院
S0211,大庆石油学院
S0212,安徽省地质职工大学
S0213,广东省财贸管理干部学院
S0214,广州外贸学院
S0215,香港公开大学
S0216,牛津大学
S0217,中国社会科学院
S0218,密西根大学
S0219,北京矿业学院
S0220,无锡轻工业学院
S0221,华东政法学院
S0222,湖南医科大学
S0223,第三军医大学
S0224,东北电力学院
S0225,莱特州立大学
S0226,山东工业大学
S0227,华中理工大学
S0228,青海师范大学
S0229,大连海运学院
S0230,北京大学
S0231,北大
S0232,中国人民大学
S0233,清华大学
S0234,北京交通大学
S0235,北京科技大学
S0236,中国石油大学
S0237,北京邮电大学
S0238,华北电力大学
S0239,北京化工大学
S0240,中国农业大学
