B0001,中国
B0002,钓鱼岛
B0003,全国
B0004,中共
B0005,北京
B0006,天津
B0007,重庆
B0008,上海
B0009,河北
B0010,山西
B0011,辽宁
B0012,吉林
B0013,黑龙江
B0014,江苏
B0015,浙江
B0016,安徽
B0017,福建
B0018,江西
B0019,山东
B0020,河南
B0021,湖北
B0022,湖南
B0023,广东
B0024,海南
B0025,四川
B0026,贵州
B0027,云南
B0028,陕西
B0029,甘肃
B0030,青海
B0031,内蒙古
B0032,广西
B0033,宁夏
B0034,新疆
B0035,西藏
B0036,香港
B0037,澳门
B0038,台湾
B0039,中山
B0040,深圳
B0041,信阳
B0042,兰州
B0043,佛山
B0044,成都
B0045,潍坊
B0046,大连
B0047,西安
B0048,连云港
B0049,泉州
B0050,太原
B0051,珠海
B0052,普宁
B0053,兴安
B0054,广州
B0055,郑州
B0056,益阳
B0057,秦皇岛
B0058,三亚
B0059,安庆
B0060,哈尔冰
B0061,武汉
B0062,美国
B0063,英国
B0064,澳大利亚
B0065,日本
B0066,韩国
B0067,交通银行
B0068,民生银行
B0069,建设银行
B0070,工商银行
B0071,农业银行
B0072,人民银行
B0073,交行
B0074,建行
B0075,工行
B0076,农行
B0077,广州
B0078,京能
B0079,海航
B0080,恒华
B0081,海昌
B0082,何香凝
B0083,新华
B0084,深业
B0085,万科
B0086,中冶
B0087,博时
B0088,飞尚
B0089,中源
B0090,中粮
B0091,荣信
