Arcd ,Prvn,Pftn,Pst,Pstcd,Pstrm,Name,Hash_Key,Term,Offcd ,Gender ,Eth ,Bthp,Bthd,Jnpdt
区域代码,省级名称,地市级名称,职位,职位代码,职位备注,官员姓名,搜索键,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间
130100,河北省,石家庄市,市长,6,,柯庆施,0375b2653bc86c962b7b6f26aad4f893a9cfb365,1947.11-1949.04,0000002156,男,,安徽歙县,1902.07,1922.00
130100,河北省,石家庄市,市长,6,,刘秀峰,275f295c644ec227c455ac06fcf2398ead93a2a5,1949.04-1949.10,0000003405,,,台鱼乡寨子村,,
130100,河北省,石家庄市,市长,6,,毛铎,1aaa0ca836a8fedd88e0e032b20abc4019767ebf,1949.10-1951.12,0000003877,男,汉族,,,
130100,河北省,石家庄市,市长,6,,臧伯平,18e4d4497ca7f8c5f522d9d88c523569a4aa9afa,1951.12-1952.06,0000016819,男,汉族,直隶(今河北)唐县,,1931.00
130100,河北省,石家庄市,市长,6,,康修民,ce64f05cbcd70b3ee799e7f24206a32b16abdfe1,1952.06-1956.12,0000002152,,,河北省深州市大堤镇东李窝村,,
130100,河北省,石家庄市,市长,6,,苏应明,1f9b742127edc67936fcb3b7e0aa5ec0f6ef691a,1956.12-1958.05,0000005516,,,,,
130100,河北省,石家庄市,市长,6,,马赋广,6a23dcf5d4f48e69bdc6e54135416e36be7cde65,1958.05-1960.02,0000012874,,,河北省深县商村,1915.00,
130100,河北省,石家庄市,市长,6,,张屏东,5455c6584ebc0822982ec7675e6805f430f1704b,1960.02-1961.06,0000017151,,汉族,,,
130100,河北省,石家庄市,市长,6,代,吴双霖,546ea10756a8685bc3d1d1f3ccbc5cb5f6403b4d,1961.06-1963.05,0000015441,,,,,
130100,河北省,石家庄市,市长,6,,王布云,90b6dcdc22dbfbaa3bd384d1436f40fdde1079dd,1963.05-,0000014505,,,,,
130100,河北省,石家庄市,市长,6,,刘庆林,1af23127e92fb314c6f3cc9e7cf300d3b315f486,-1966.08,0000012277,,,,,
130100,河北省,石家庄市,市长,6,代,贾然,e6b7576643a50472a11912224741dbb87e7923f7,1966.08-1967.12,0000001962,,汉族,,,
