Arcd ,Prvn,Pftn,Cont,Pst,Pstcd,Pstrm,Name,Hash_Key,Term,Offcd,Gender,Eth,Bthp,Bthd,Jnpdt ,,,
区域代码,省级名称,地市级名称,县级名称,职位,职位代码,职位备注,官员姓名,搜索键,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间,,,
110101,北京市,,东城区,区长,18,,陈平,d19c1dd2567b03f1886ae3d933942919dd63fecf,2000.08-2003.01,460,男,汉族,河北三河,1954.01,1986.04,,,
110101,北京市,,东城区,区长,18,,卢彦,6c3cd0f53e535468b95a31d67070a7004e065446,2003.01-2006.07,12611,男,汉族,江苏宝应,1963.03,,,,
110101,北京市,,东城区,区长,18,,杨艺文,839936a8692374f2a2a10f1fa788a582ae1c94bd,2006.07-2010.07,6872,女,汉族,山东荣成,1961.04,1983.06,,,
110101,北京市,,东城区,区长,18,,牛青山,1a3bf4fa86e7ba9e44653e7d4415e1af5541b53d,2010.07-2013.11,4008,男,汉族,河北定县,1960.12,1979.08,,,
110101,北京市,,东城区,区长,18,代,张家明,ea63f30135b14b4dd97a5831f18968b668181ca0,2013.11-2014.01,7404,男,汉族,安徽肥东,1963.12,1985.05,,,
110101,北京市,,东城区,区长,18,,张家明,ea63f30135b14b4dd97a5831f18968b668181ca0,2014.01-至今,7404,男,汉族,安徽肥东,1963.12,1985.05,,,
110101,北京市,,东城区,区委书记,17,,连廉,2b56e656172832b7be3dcf0704098b5ea6738da7,-2001.02,11796,,,,,,,,
110101,北京市,,东城区,区委书记,17,,赵久合,a43f8446d99db80b12a76d8a4b55eb1454ff616a,2001.02-2003.01,17571,,,,,,,,
110101,北京市,,东城区,区委书记,17,,陈平,d19c1dd2567b03f1886ae3d933942919dd63fecf,2003.01-2007.01,460,男,汉族,河北三河,1954.01,1986.04,,,
110101,北京市,,东城区,区委书记,17,,王学勤,69bdf2fcd2c62c549fb8547494e87953c3ad2031,2007.02-2009.03,15002,男,汉族,江苏省苏州市,1960.02,1987.11,,,
110101,北京市,,东城区,区委书记,17,,杨柳荫,dc93e878fa20e648a8eeefe7cb312888f318258c,2009.03-至今,16261,男,汉族,山西天镇,1955.08,1974.03,,,
110102,北京市,,西城区,区长,18,,吕锡文,049a43a26306cfe5c2cf99aa13ef492b71d8a0ce,1999.01-2003.04,3734,女,汉族,浙江宁波,1955.07,1982.08,,,
110102,北京市,,西城区,区长,18,,林铎,849c418f60ea0ed40a4492a8c0dc2f364f2bb8d5,2003.04-2006.10,2976,男,汉族,山东菏泽,1956.03,1975.1,,,
110102,北京市,,西城区,区长,18,,张建东,6d43673737be2cfabede0e99e58b8b5716e8d5c4,2006.10-2011.07,7408,男,汉族,河北乐亭,1962.07,1982.12,,,
110102,北京市,,西城区,区长,18,,王少峰,f755b7b848a48ac6d6c77c36b66dae8487e62071,2011.07-至今,14837,男,汉族,山东日照,1970.11,1990.07,,,
110102,北京市,,西城区,区委书记,17,,王长连,28003d64abfcc8ed30c0737e56a47b429642235c,1999.0l-2003.01,15111,男,汉族,河北吴桥,1946.08,,,,
110102,北京市,,西城区,区委书记,17,,吕锡文,049a43a26306cfe5c2cf99aa13ef492b71d8a0ce,2003.01-2006.09,3734,女,汉族,浙江宁波,1955.07,1982.08,,,
110102,北京市,,西城区,区委书记,17,,林铎,849c418f60ea0ed40a4492a8c0dc2f364f2bb8d5,2006.10-2010.07,2976,男,汉族,山东菏泽,1956.03,1975.1,,,
110102,北京市,,西城区,区委书记,17,,王宁,bc86628f5a75ccb22578341f757be0fdca9cce5b,2010.07-2015.11,4665,男,汉族,山西清徐,1960,1987.02,,,
110102,北京市,,西城区,区委书记,17,,卢映川,732371aa46b21b94a36e27817be001dbfe386042,2015.12-至今,3565,男,汉族,安徽阜南,1968.05,1986.07,,,
110105,北京市,,朝阳区,区长,18,,李士祥,630ecaea352dc9670e52a3846d9eef0920fc8df5,1999.11-2003.01,2607,男,汉族,北京市,1958.08,1982.03,,,
110105,北京市,,朝阳区,区长,18,,陈刚,741338a3e314c9cdf30e0fad6830b1b47f5c3cfc,2003.01-2006.11,318,男,汉族,江苏高邮,1965.04,1986.12,,,
110105,北京市,,朝阳区,区长,18,,程连元,6c5f88144be74812f53a71d0ce5d44ac63cb4c0c,2006.11-2012.07,660,男,汉族,北京市,1961.12,1982.12,,,
110105,北京市,,朝阳区,区长,18,,吴桂英,716c05afa809e9bbdcd2fd71dce5a6640ed20ed9,2012.07-至今,6095,女,汉族,河北唐山,1966.02,1987.04,,,
