Name,Hash_Key,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,搜索键,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,学习,延安中国人民抗日军政大学,,,
安启元,93d69d745d4b35622282f5e074051a8d3b4f6118,0000000034,本科,西北大学,地质,,
巴特尔,2689d45c7033890297e726dff9e1b9433800c2ce,0000000047,大专,内蒙古自治区海拉尔蒙古族师范学校,蒙文,1978.11,1980.08
巴特尔,2689d45c7033890297e726dff9e1b9433800c2ce,0000000047,培训,内蒙古自治区委党校,,1982.02,1983.07
巴特尔,2689d45c7033890297e726dff9e1b9433800c2ce,0000000047,培训,中央党校,,1988.02,1988.07
巴特尔,2689d45c7033890297e726dff9e1b9433800c2ce,0000000047,研究生,复旦大学,政治经济学,1995.09,1998.07
巴特尔,2689d45c7033890297e726dff9e1b9433800c2ce,0000000047,研究生,中央党校,政治学,2006.09,2009.07
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,学习,内蒙古师范大学,政治理论,1980.11,1982.11
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,研究生,吉林大学,国民经济计划与管理,1994.03,1997.03
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,进修,中央党校,,1995.09,1995.11
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,学习,中共中央党校,,1936.00,1938.00
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,本科,西北工业大学,航海设备与自动控制,1965.08,1970.08
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,培训,中央党校,,1987.09,1988.07
白克明,9c0a7a5dfda685f334c209d8de6d25d4af26b9cd,0000000059,本科,哈尔滨军事工程学院,导弹工程,1962.00,1968.00
白立忱,d1a5ae7e4fed6db4b55e64ee868d3fca614b547b,0000000060,本科,沈阳农学院,农业机械化,1960.00,1964.00
白玛赤林,665ef1d7fd117e0fa6520b94cca7f1575d255a0e,0000000063,本科,西藏民族学院,,1965.09,1969.12
白玛赤林,665ef1d7fd117e0fa6520b94cca7f1575d255a0e,0000000063,培训,中央党校,,1989.09,1991.07
白玛赤林,665ef1d7fd117e0fa6520b94cca7f1575d255a0e,0000000063,培训,中央党校,,2000.03,2001.01
白玛赤林,665ef1d7fd117e0fa6520b94cca7f1575d255a0e,0000000063,研究生,中央党校,党的学说与党的建设,2000.03,2002.01
