Name,Hash_Key,Offcd ,Wk_S,Wk_E,Jbt
官员姓名,搜索键,官员代码,任期起始时间,任期结束时间,职位名称
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1937.02,  ,赴延安参加革命，1937年5月加入中国共产党
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1937.02,  ,与一些进步学生奔赴革命圣地延安参加了革命，在延安中国人民抗日军政大学二期学习大学
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1942.12,  ,任中共晋绥边区河曲县三区区委书记，晋绥边区师范学校教育长，中共晋绥中央分局党校党支部书记，晋绥第八专区贸易局副局长兼西北农民银行副经理，吕梁行政公署秘书师范
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1946.03,  ,任晋绥边区平介县县长兼独立营营长，中共平介县委书记、中共汾阳县委书记兼县大队政委
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1953.11,1955.06,任中共中央华南分局农村工作部副部长、部长，华南分局委员
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1955.06,1956.08,任中共广东省委农村工作部部长，1956年7月至1961年6月任中共广东省委常委，1956年8月至1961年6月任广东省副省长
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1961.06,  ,任中共广西壮族自治区委书记处书记
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1968.08,  ,任广西壮族自治区革命委员会副主任、生产指挥组组长，中共广西壮族自治区委常委、副书记、书记
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1973.00,  ,在中国共产党第十次全国代表大会上当选为中央委员
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1975.10,1977.02,任中共广西壮族自治区委第一书记，自治区革命委员会主任，1973年6月至1977年11月任广西军区第一政治委员
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1977.02,1985.07,任中共云南省委第一书记，1977年2月至1979年12月任云南省革命委员会主任，云南省军区第一政治委员，1979年1月至1982年10月任中国人民解放军昆明军区第一政治委员、党委书记
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1977.12,1979.12,兼任政协云南省第四届委员会主席，1979年12月至1983年4月兼任云南省第五届人大常委会主任
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1977.00,  ,1982年分别在中共第十一十二次全国代表大会上继续当选为中央委员
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1987.00,  ,在中共第十三次全国代表大会上当选为中央顾问委员会委员
安平生,ab2c9f716be770385deda6160d41ef103bc9ea66,0000000031,1999.09,  ,在北京逝世，享年82岁
安启元,93d69d745d4b35622282f5e074051a8d3b4f6118,0000000034,1956.00,1973.05,参加工作历任石油部西安地质调查处助理技术员、技术员、松辽石油勘探局地质队队
安启元,93d69d745d4b35622282f5e074051a8d3b4f6118,0000000034,1973.05,1977.08,历任石油部地球物理勘探局局长、党委第一副书记
安启元,93d69d745d4b35622282f5e074051a8d3b4f6118,0000000034,1977.08,1988.06,任国家地震局副局长、党组副书记、局长、党组书记
安启元,93d69d745d4b35622282f5e074051a8d3b4f6118,0000000034,1988.06,1992.10,历任中共陕西省委常委、西安市委书记、中共陕西省委副书记
安启元,93d69d745d4b35622282f5e074051a8d3b4f6118,0000000034,1992.10,1994.11,当选为中共中央纪律检查委员会委员、常委
安启元,93d69d745d4b35622282f5e074051a8d3b4f6118,0000000034,1994.11,1997.01,任中共陕西省委书记、省军区党委第一书记
安启元,93d69d745d4b35622282f5e074051a8d3b4f6118,0000000034,1997.01,  ,任陕西省政协主席
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1976.11,1980.11,内蒙古自治区伊克昭盟委组织部干事
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1980.11,1982.11,内蒙古师范大学政教系干部专修科政治理论专业学习
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1982.11,1985.10,内蒙古自治区伊克昭盟委组织部干事、组织科科长
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1985.10,1988.12,内蒙古自治区伊克昭盟伊金霍洛旗委副书记、旗长
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1988.12,1991.11,内蒙古自治区伊克昭盟伊金霍洛旗委书记
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1991.11,1992.05,共青团内蒙古自治区委副书记
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1992.05,1993.05,共青团内蒙古自治区委书记
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1993.05,1998.06,共青团中央书记处书记、全国青联常务副主席（其间：1994.03-1997.03吉林大学经济管理学院国民经济计划与管理专业在职研究生学习，获经济学硕士学位
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1995.09,1995.11,中央党校省部级进修班学习
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1998.06,1998.11,共青团中央书记处常务书记（副部长级）、全国青联代主席
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,1998.11,2001.04,共青团中央书记处常务书记、全国青联主席、全国少工委主任
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2001.04,2003.12,浙江省副省长、省政府党组成员
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2003.12,2004.01,浙江省委常委、副省长、宁波市委书记
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2004.01,2007.05,浙江省委常委、宁波市委书记
