Arcd ,Prvn,Pftn,Pst,Pstcd,Pstrm,Name,Term,Offcd ,Gender ,Eth ,Bthp,Bthd,Jnpdt
区域代码,省级名称,地市级名称,职位,职位代码,职位备注,官员姓名,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间
130100,河北省,石家庄市,市长,6,,柯庆施,1947.11-1949.04,0000002156,男,,安徽歙县,1902.07,1922.00
130100,河北省,石家庄市,市长,6,,刘秀峰,1949.04-1949.10,0000003405,,,台鱼乡寨子村,,
130100,河北省,石家庄市,市长,6,,毛铎,1949.10-1951.12,0000003877,男,汉族,,,
130100,河北省,石家庄市,市长,6,,臧伯平,1951.12-1952.06,0000016819,男,汉族,直隶(今河北)唐县,,1931.00
130100,河北省,石家庄市,市长,6,,康修民,1952.06-1956.12,0000002152,,,河北省深州市大堤镇东李窝村,,
130100,河北省,石家庄市,市长,6,,苏应明,1956.12-1958.05,0000005516,,,,,
130100,河北省,石家庄市,市长,6,,马赋广,1958.05-1960.02,0000012874,,,河北省深县商村,1915.00,
130100,河北省,石家庄市,市长,6,,张屏东,1960.02-1961.06,0000017151,,汉族,,,
130100,河北省,石家庄市,市长,6,代,吴双霖,1961.06-1963.05,0000015441,,,,,
130100,河北省,石家庄市,市长,6,,王布云,1963.05-,0000014505,,,,,
130100,河北省,石家庄市,市长,6,,刘庆林,-1966.08,0000012277,,,,,
130100,河北省,石家庄市,市长,6,代,贾然,1966.08-1967.12,0000001962,,汉族,,,
130100,河北省,石家庄市,市长,6,革委会主任,刘炎田,1967.12-1973.03,0000012410,,汉族,,,
130100,河北省,石家庄市,市长,6,,苏应明,1973.03-1975.11,0000005516,,,,,
130100,河北省,石家庄市,市长,6,革委会主任,庞钧,1973.03-1975.11,0000004071,,,安仁镇东庞桥村,1914.00,
130100,河北省,石家庄市,市长,6,革委会主任,张建尧,1975.11-1979.04,0000007424,,汉族,,,
130100,河北省,石家庄市,市长,6,,贾然,1979.04-1982.08,0000001962,,,,,
130100,河北省,石家庄市,市长,6,,刘力夫,1982.08-1983.09,0000012230,,,,,
130100,河北省,石家庄市,市长,6,,王葆华,1983.09-1988.05,0000014496,,汉族,,,
130100,河北省,石家庄市,市长,6,,罗植龄,1988.05-1990.08,0000012777,,,,,
