Arcd ,Prvn,Pftn,Cont,Pst,Pstcd,Pstrm,Name,Term,Offcd,Gender,Eth,Bthp,Bthd,Jnpdt ,,,
区域代码,省级名称,地市级名称,县级名称,职位,职位代码,职位备注,官员姓名,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间,,,
110101,北京市,,东城区,区长,18,,陈平,2000.08-2003.01,460,男,汉族,河北三河,1954.01,1986.04,,,
110101,北京市,,东城区,区长,18,,卢彦,2003.01-2006.07,12611,男,汉族,江苏宝应,1963.03,,,,
110101,北京市,,东城区,区长,18,,杨艺文,2006.07-2010.07,6872,女,汉族,山东荣成,1961.04,1983.06,,,
110101,北京市,,东城区,区长,18,,牛青山,2010.07-2013.11,4008,男,汉族,河北定县,1960.12,1979.08,,,
110101,北京市,,东城区,区长,18,代,张家明,2013.11-2014.01,7404,男,汉族,安徽肥东,1963.12,1985.05,,,
110101,北京市,,东城区,区长,18,,张家明,2014.01-至今,7404,男,汉族,安徽肥东,1963.12,1985.05,,,
110101,北京市,,东城区,区委书记,17,,连廉,-2001.02,11796,,,,,,,,
110101,北京市,,东城区,区委书记,17,,赵久合,2001.02-2003.01,17571,,,,,,,,
110101,北京市,,东城区,区委书记,17,,陈平,2003.01-2007.01,460,男,汉族,河北三河,1954.01,1986.04,,,
110101,北京市,,东城区,区委书记,17,,王学勤,2007.02-2009.03,15002,男,汉族,江苏省苏州市,1960.02,1987.11,,,
110101,北京市,,东城区,区委书记,17,,杨柳荫,2009.03-至今,16261,男,汉族,山西天镇,1955.08,1974.03,,,
110102,北京市,,西城区,区长,18,,吕锡文,1999.01-2003.04,3734,女,汉族,浙江宁波,1955.07,1982.08,,,
110102,北京市,,西城区,区长,18,,林铎,2003.04-2006.10,2976,男,汉族,山东菏泽,1956.03,1975.1,,,
110102,北京市,,西城区,区长,18,,张建东,2006.10-2011.07,7408,男,汉族,河北乐亭,1962.07,1982.12,,,
110102,北京市,,西城区,区长,18,,王少峰,2011.07-至今,14837,男,汉族,山东日照,1970.11,1990.07,,,
110102,北京市,,西城区,区委书记,17,,王长连,1999.0l-2003.01,15111,男,汉族,河北吴桥,1946.08,,,,
110102,北京市,,西城区,区委书记,17,,吕锡文,2003.01-2006.09,3734,女,汉族,浙江宁波,1955.07,1982.08,,,
110102,北京市,,西城区,区委书记,17,,林铎,2006.10-2010.07,2976,男,汉族,山东菏泽,1956.03,1975.1,,,
110102,北京市,,西城区,区委书记,17,,王宁,2010.07-2015.11,4665,男,汉族,山西清徐,1960,1987.02,,,
110102,北京市,,西城区,区委书记,17,,卢映川,2015.12-至今,3565,男,汉族,安徽阜南,1968.05,1986.07,,,
110105,北京市,,朝阳区,区长,18,,李士祥,1999.11-2003.01,2607,男,汉族,北京市,1958.08,1982.03,,,
110105,北京市,,朝阳区,区长,18,,陈刚,2003.01-2006.11,318,男,汉族,江苏高邮,1965.04,1986.12,,,
110105,北京市,,朝阳区,区长,18,,程连元,2006.11-2012.07,660,男,汉族,北京市,1961.12,1982.12,,,
110105,北京市,,朝阳区,区长,18,,吴桂英,2012.07-至今,6095,女,汉族,河北唐山,1966.02,1987.04,,,
110105,北京市,,朝阳区,区委书记,17,,蒋效愚,-2000.07,10868,男,汉族,北京市,1948.04,,,,
110105,北京市,,朝阳区,区委书记,17,,刘晓晨,2000.08-2003.01,12381,男,汉族,河北衡水,1950.07,,,,
110105,北京市,,朝阳区,区委书记,17,,李士祥,2003.01-2006.11,2607,男,汉族,北京市,1958.08,1982.03,,,
110105,北京市,,朝阳区,区委书记,17,,陈刚,2006.11-2012.07,318,男,汉族,江苏高邮,1965.04,1986.12,,,
110105,北京市,,朝阳区,区委书记,17,,程连元,2012.07-2015.07,660,男,汉族,北京市,1961.12,1982.12,,,
110105,北京市,,朝阳区,区委书记,17,,吴桂英,2015.09-至今,6095,女,汉族,河北唐山,1966.02,1987.04,,,
110106,北京市,,丰台区,区长,18,,张大力,1999.01-2006.08,7244,,,,,,,,
110106,北京市,,丰台区,区长,18,,李超钢,2006.12-2009.03,2261,男,,,1954.08,,,,
110106,北京市,,丰台区,区长,18,,游广斌,2009.03-2010.03,16590,男,汉族,北京市,1963.01,,,,
110106,北京市,,丰台区,区长,18,,崔鹏,2010.03-2011.08,8999,男,汉族,天津市,1964.07,1991.06,,,
110106,北京市,,丰台区,区长,18,,冀岩,2011.08-至今,10712,男,,北京,1962.1,,,,
110106,北京市,,丰台区,区委书记,17,,王子生,1996.09-2006.08,5055,男,汉族,,1947.02,,,,
110106,北京市,,丰台区,区委书记,17,,张大力,2006.08-2009.03,7244,,,,,,,,
110106,北京市,,丰台区,区委书记,17,,李超钢,2009.03-2014.12,2261,男,侗族,,1954.08,,,,
110106,北京市,,丰台区,区委书记,17,,杨艺文,2014.11-至今,6872,女,汉族,山东荣成,1961.04,1983.06,,,
110107,北京市,,石景山区,区长,18,,陈文占,-2002.03,8740,,,,,,,,
110107,北京市,,石景山区,区长,18,,侯玉兰,2002.03-2006.10,10293,,汉族,,,,,,
110107,北京市,,石景山区,区长,18,,周茂非,2006.10-2011.02,17958,,,,,,,,
110107,北京市,,石景山区,区长,18,,夏林茂,2011.02-至今,15583,,汉族,江苏建湖,1970.05,,,,
110107,北京市,,石景山区,区委书记,17,,索连生,-2002.01,14185,,,,,,,,
110107,北京市,,石景山区,区委书记,17,,张燕生,2003.03-2006.10,17341,男,汉族,,1950.01,,,,
110107,北京市,,石景山区,区委书记,17,,荣华,2006.10-2013.11,13622,女,汉族,辽宁朝阳,1953.1,1972.02,,,
110107,北京市,,石景山区,区委书记,17,,牛青山,2013.11-至今,4008,男,汉族,河北定县,1960.12,1979.08,,,
110108,北京市,,海淀区,区长,18,,李进山,-2002.04,11384,男,汉族,北京海淀,1950.01,,,,
110108,北京市,,海淀区,区长,18,,周良洛,2002.04-2007.04,17951,男,汉族,江西省铅山县,1958.11,,,,
110108,北京市,,海淀区,区长,18,,林抚生,2007.04-2011.04,11941,男,汉族,福建福州,1964.02,1983.12,,,
110108,北京市,,海淀区,区长,18,,隋振江,2011.05-2012.02,5526,男,汉族,辽宁大洼,1963.08,1984.04,,,
110108,北京市,,海淀区,区长,18,代,孙文锴,2012.02-2012.11,5608,男,汉族,四川邛崃,1966.06,1985.06,,,
110108,北京市,,海淀区,区长,18,,孙文锴,2012.11-2015.04,5608,男,汉族,四川邛崃,1966.06,1985.06,,,
110108,北京市,,海淀区,区长,18,代,于军,2015.04-至今,16620,男,汉族,山东平度,1964.06,1985.01,,,
110108,北京市,,海淀区,区委书记,17,,朱善璐,1998.04-2002.05,18301,男,汉族,辽宁沈阳,1953.11,,,,
110108,北京市,,海淀区,区委书记,17,,谭维克,2003.01-2009.11,14225,男,汉族,四川宣汉,1954.1,1981.06,,,
110108,北京市,,海淀区,区委书记,17,,赵凤桐,2009.11-2012.02,7863,男,汉族,辽宁辽阳,1954.12,,,,
110108,北京市,,海淀区,区委书记,17,,隋振江,2012.04-2015.06,5526,男,汉族,辽宁大洼,1963.08,1984.04,,,
110108,北京市,,海淀区,区委书记,17,,崔述强,2015.06-至今,9006,男,汉族,北京市,1963.05,1988.09,,,
110109,北京市,,门头沟区,区长,18,,刘永富,1997.09-2002.03,12429,,,,,,,,
110109,北京市,,门头沟区,区长,18,,董瑞龙,2002.03-2003.01,895,男,汉族,北京昌平,1952.05,1969.06,,,
110109,北京市,,门头沟区,区长,18,,伊欣欣,2003.01-2006.03,6991,男,汉族,辽宁省锦州市,1950.01,1970.03,,,
110109,北京市,,门头沟区,区长,18,,刘云广,2006.04-2010.03,3457,男,汉族,山东烟台,1959.08,1986.09,,,
110109,北京市,,门头沟区,区长,18,代,王洪钟,2010.03-2010.08,5971,男,汉族,北京房山,1965.02,,,,
110109,北京市,,门头沟区,区长,18,,王洪钟,2010.08-2015.04,5971,男,汉族,北京房山,1965.02,,,,
110109,北京市,,门头沟区,区长,18,代,张贵林,2014.10-2015.02,7300,男,汉族,广西兴安,1963.04,1982.11,,,
110109,北京市,,门头沟区,区长,18,,张贵林,2015.02-至今,7300,男,汉族,广西兴安,1963.04,1982.11,,,
110109,北京市,,门头沟区,区委书记,17,,李建华,1998.10-2003.01,2413,男,汉族,北京市,1947.12,,,,
110109,北京市,,门头沟区,区委书记,17,,董瑞龙,2003.01-2006.03,895,男,汉族,北京昌平,1952.05,1969.06,,,
110109,北京市,,门头沟区,区委书记,17,,伊欣欣,2006.03-2010.03,6991,男,汉族,辽宁省锦州市,1950.01,1970.03,,,
110109,北京市,,门头沟区,区委书记,17,,刘云广,2010.03-2011.03,3457,男,汉族,山东烟台,1959.08,1986.09,,,
110109,北京市,,门头沟区,区委书记,17,,韩子荣,2011.03-至今,10069,女,汉族,北京朝阳,1964.03,1986.04,,,
110111,北京市,,房山区,区长,18,,王凤江,,5920,,,,,,,,
110111,北京市,,房山区,区长,18,,李庆余,1987.05-1993.10,2573,,,,,,,,
110111,北京市,,房山区,区长,18,,焦志忠,1993.10-,2093,男,汉族,北京大兴,1948,1980.09,,,
110111,北京市,,房山区,区长,18,,张效廉,2001.08-2005.03,7698,男,汉族,山东梁山,1964.04,1985.01,,,
110111,北京市,,房山区,区长,18,代,祁红,2005.04-2006.01,4138,男,汉族,北京宣武,1955.06,1975.02,,,
110111,北京市,,房山区,区长,18,,祁红,2006.01-2014.12,4138,男,汉族,北京宣武,1955.06,1975.02,,,
110111,北京市,,房山区,区长,18,代,曾赞荣,2014.12-2015.01,225,男,汉族,湖南邵东,1969.08,1987.1,,,
110111,北京市,,房山区,区长,18,,曾赞荣,2015.01-至今,225,男,汉族,湖南邵东,1969.08,1987.1,,,
110111,北京市,,房山区,区委书记,17,,王凤江,,5920,,,,,,,,
110111,北京市,,房山区,区委书记,17,,王作升,1987.01-1989.03,15174,,,,,,,,
110111,北京市,,房山区,区委书记,17,,邵干坤,1989.03—1993.10,13685,,,,,,,,
110111,北京市,,房山区,区委书记,17,,李庆余,1993.10-,2573,,,,,,,,
110111,北京市,,房山区,区委书记,17,,单霁翔,1997.08—2000.01,9062,男,汉族,北京市,1954,1985.06,,,
110111,北京市,,房山区,区委书记,17,,杨德宏,-2003.08,16163,,,,,,,,
110111,北京市,,房山区,区委书记,17,,聂玉藻,2003.08-2008.10,13209,男,汉族,觅子店乡后尖平村,1955.1,1984.05,,,
110111,北京市,,房山区,区委书记,17,,刘伟,2008.12-至今,3363,男,汉族,河南漯河,1957.1,1981.04,,,
110112,北京市,,通州区,区长,18,,焦志忠,1997.04-2003.09,2093,男,汉族,北京大兴,1948,1980.09,,,
