Name,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
安平生,0000000031,学习,延安中国人民抗日军政大学,,,
安启元,0000000034,本科,西北大学,地质,,
巴特尔,0000000047,大专,内蒙古自治区海拉尔蒙古族师范学校,蒙文,1978.11,1980.08
巴特尔,0000000047,培训,内蒙古自治区委党校,,1982.02,1983.07
巴特尔,0000000047,培训,中央党校,,1988.02,1988.07
巴特尔,0000000047,研究生,复旦大学,政治经济学,1995.09,1998.07
巴特尔,0000000047,研究生,中央党校,政治学,2006.09,2009.07
巴音朝鲁,0000000049,学习,内蒙古师范大学,政治理论,1980.11,1982.11
巴音朝鲁,0000000049,研究生,吉林大学,国民经济计划与管理,1994.03,1997.03
巴音朝鲁,0000000049,进修,中央党校,,1995.09,1995.11
白栋材,0000000051,学习,中共中央党校,,1936.00,1938.00
白恩培,0000000052,本科,西北工业大学,航海设备与自动控制,1965.08,1970.08
白恩培,0000000052,培训,中央党校,,1987.09,1988.07
白克明,0000000059,本科,哈尔滨军事工程学院,导弹工程,1962.00,1968.00
白立忱,0000000060,本科,沈阳农学院,农业机械化,1960.00,1964.00
白玛赤林,0000000063,本科,西藏民族学院,,1965.09,1969.12
白玛赤林,0000000063,培训,中央党校,,1989.09,1991.07
白玛赤林,0000000063,培训,中央党校,,2000.03,2001.01
白玛赤林,0000000063,研究生,中央党校,党的学说与党的建设,2000.03,2002.01
白如冰,0000000066,高中,,,,
薄熙来,0000000095,本科,北京大学,世界史,1978.02,1979.09
薄熙来,0000000095,研究生,中国社会科学院,国际新闻,1979.09,1982.08
布赫,0000000121,学习,延安陕北公学,,1939.00,
布赫,0000000121,学习,延安民族学院,,,
布赫,0000000121,本科,延安大学,,,1946.00
曹伯纯,0000000158,大专,株洲航空工业学校,,1958.09,1960.08
曹伯纯,0000000158,大专,株洲航空工业专科学校,工具制造,1960.08,1963.12
曹伯纯,0000000158,培训,湖南省委党校,,1981.03,1981.07
曹伯纯,0000000158,进修,北京航空学院,,1982.03,1982.07
曹伯纯,0000000158,培训,中央党校,,1986.09,1987.07
曹荻秋,0000000161,本科,成都师范大学,,,1930.00
曾绍山,0000000209,,,,,
曾思玉,0000000212,学习,瑞金红军学校,,1932.00,
曾希圣,0000000217,学习,湖南省立第三师范学校,,1920.00,
曾希圣,0000000217,学习,黄埔军校,,1924.00,
陈邦柱,0000000254,本科,重庆大学,,,1954.00
陈德铭,0000000291,研究生,南京大学,数量经济学,1993.06,1996.08
陈德铭,0000000291,研究生,南京大学,企业管理,1996.03,1999.12
陈光毅,0000000329,大专,东北工学院,机电,1950.00,1953.00
陈豪,0000000348,本科,上海市静安区业余大学,汉语言文学,1980.02,1984.01
陈豪,0000000348,进修,华东师范大学,世界经济,1989.05,1991.06
陈豪,0000000348,研究生,中欧国际工商学院,工商管理,2001.03,2003.01
陈豪,0000000348,进修,中央党校,,2006.03,2006.07
陈豪,0000000348,研究生,国防大学,,2014.05,2014.07
陈焕友,0000000364,本科,中国人民大学,工业经济,1952.09,1955.00
陈辉光,0000000366,学习,中央党校,,1982.09,1983.07
陈建国,0000000387,本科,山东大学,经济,,1982.00
陈雷,0000000429,,,,,
陈良宇,0000000434,本科,解放军后勤工程学院,结构,1963.08,1968.08
陈良宇,0000000434,进修,同济大学,工程结构,1979.02,1980.01
陈良宇,0000000434,培训,市机电一局党校,,1982.09,1983.04
陈良宇,0000000434,学习,英国伯明翰大学,公共政策,1992.01,1992.09
陈敏尔,0000000444,大专,绍兴师范专科学校,中文,1978.10,1981.08
陈敏尔,0000000444,学习,浙江省委党校,,1982.09,1983.05
陈敏尔,0000000444,培训,中央党校,,1995.09,1996.07
陈敏尔,0000000444,研究生,中央党校,法学,1995.09,1998.07
陈明义,0000000451,研究生,上海交通大学,船舶流体力学,,1966.00
陈丕显,0000000458,,,,,
陈璞如,0000000463,,,,,
陈求发,0000000478,本科,国防科技大学,雷达对抗,1975.09,1978.10
陈求发,0000000478,进修,中央党校,,2002.03,2002.05
陈全国,0000000480,本科,郑州大学,政治经济学,1978.03,1981.12
陈全国,0000000480,研究生,武汉理工大学,经济学,1995.03,1997.07
陈伟达,0000000531,本科,上海暨南大学,物理,1933.00,1937.00
陈武,0000000540,学习,广西大学,哲学,1978.01,1982.01
陈武,0000000540,进修,联邦德国,宏观经济管理,1990.09,1991.12
陈武,0000000540,研究生,中央党校,法学,1997.09,2000.07
陈希同,0000000542,本科,北京大学,,1948.00,
陈锡联,0000000544,,,,,
陈毅,0000000581,学习,成都甲种工业学校（现成都工业学院）,,1916.00,
陈政高,0000000612,大专,大连海运学院,海洋船舶驾驶,1972.02,1975.01
成克杰,0000000639,本科,北方交通大学,运动工程,1952.00,1957.00
成克杰,0000000639,预备,北京俄文专修学校,,1953.00,1954.00
成克杰,0000000639,培训,中央党校,,1989.09,1989.11
成克杰,0000000639,培训,中央党校,,1994.02,1994.05
程安东,0000000642,大专,辽宁省阜新煤矿学校,,,1955.09
程安东,0000000642,本科,合肥工业大学,采矿,,1962.07
程世清,0000000670,学习,中央党校,,1943.11,
程维高,0000000673,大专,中央党校,,1981.00,1982.00
程子华,0000000689,学习,黄埔军校武汉分校,,1926.12,
